pdb_id,mean_beta,std_beta,max_beta,min_beta,at_content,seq_len
4GLX,5.4601132358614255e-18,0.4540943810963161,0.8511614663676467,-0.5566949847075146,0.5,52
1G3X,4.594026308793751e-17,0.7326560928064267,1.526719093904463,-0.7474606227842663,0.3356643356643357,143
1A73,-1.5705594006892458e-16,0.4587279466548844,0.6257016159858378,-0.9587217885077095,0.6190476190476191,42
8OE3,-2.4014606728305017e-16,0.19023130022680307,0.2523408150549912,-0.2891269251226433,0.42857142857142855,14
2R5Z,1.6326809185664067e-18,0.2864739428346883,0.3608993340522329,-0.6636155036724555,0.6,40
6CVO,2.458350983098561e-16,0.6963993177563683,1.1526398974795558,-0.9449955935150249,0.6428571428571429,56
7JNL,2.5074639334573846e-16,0.40709162141310823,0.6147073688167805,-0.6283925402474336,0.47619047619047616,42
1D65,2.9216395384872543e-16,0.16741448711052678,0.24297567876181336,-0.3705723763484606,0.5,24
8T8T,-2.651387881177183e-16,0.11993147794409867,0.15860624692545405,-0.2068304261090994,0.32,50
6XFW,8.515915245704326e-18,0.11454875538170291,0.2967814734009696,-0.14216568395778753,0.42857142857142855,42
5UGP,3.568574007723718e-17,1.0858000706006428,1.7546619658603542,-0.9962672181918075,0.25806451612903225,31
5CP6,-2.886579864025407e-17,0.4283193612643143,0.6767870899235424,-0.7211422546206072,0.6,290
1RRQ,1.3306349486316214e-16,0.3143292423800431,0.4972820440606921,-0.6274422530511747,0.5,20
5W0U,-3.4046839421838136e-16,0.9898486454510518,2.266161846430458,-0.7686839736211083,0.4166666666666667,24
4BZT,9.41707029815981e-18,0.35509408456217434,0.5710237298946905,-0.47774395270808,0.6666666666666666,12
2FJW,6.661338147750939e-17,0.2147789212974177,0.398582741461407,-0.3327547086610513,0.625,16
1S0T,1.1102230246251566e-17,0.2332563819218152,0.3776989880041767,-0.47749231968363814,0.2631578947368421,19
7WB0,2.4980018054066023e-17,0.5743777922024748,0.8852420111569178,-0.7531336591537052,0.43537414965986393,147
4C5X,4.674623261579606e-17,0.16280721843220797,0.18696613293747547,-0.4470271328624161,0.36363636363636365,22
2M2C,-1.1618613048402802e-16,0.17958476809290164,0.31067034924695947,-0.4251164285871647,0.2857142857142857,28
3SPY,2.7755575615628914e-17,0.4296376398614668,0.8092015110840453,-0.46913734037733357,0.3870967741935484,31
1AC3,1.3481279584734043e-16,0.2857294607552275,0.5045624574732603,-0.5074824480967659,0.2727272727272727,22
1ZJE,-2.090621582661081e-16,0.22570019746229963,0.4978193713607079,-0.5103432261641497,0.16666666666666666,24
9CAQ,0.0,0.0,0.0,0.0,1.0,88
1D77,9.251858538542972e-17,0.17446135293398898,0.31299772093311806,-0.4303899593744389,0.36363636363636365,22
2LLJ,-8.987519723156029e-17,0.5168430215959394,1.006652393631177,-0.8217717062213146,0.36363636363636365,22
2K4L,-8.930054763289303e-17,0.2522162293077454,0.31880128014421333,-0.6007778594262024,0.8571428571428571,28
1C8C,3.9650822308041306e-17,0.2024352378476634,0.4008934528243829,-0.3638042134766561,0.375,16
6CTW,-1.4846005561848023e-16,0.4778008102279093,1.055526206806217,-0.6438264938826764,0.2903225806451613,31
6I8A,-2.12424774740069e-16,0.3173525614257327,0.45096608194704746,-0.4780314450073472,0.52,50
2P66,-3.1530333899354444e-16,0.688405630234034,1.455432702455171,-0.878106457976873,0.28125,32
8VNE,1.1906739684385738e-16,0.5900758563135629,0.9722821257526427,-0.7804779514054938,0.6190476190476191,42
8AD1,-5.967448757360216e-17,0.8573645613460883,3.1708096643183925,-0.9548232228373787,0.5238095238095238,63
1TN9,4.827056628805028e-18,0.3429549375697617,0.45846182918127903,-0.8621959606441431,0.6923076923076923,26
2FKC,-9.357594064697748e-17,0.3166956598103522,0.18125813311312727,-0.8090075285931881,0.2,40
1K82,-1.929673352324677e-16,0.7654764650422354,1.2386807553140855,-0.8595091423008221,0.32,100
9NDO,-4.332577657073782e-17,0.41587730954807495,0.746839438275534,-0.7449478053163195,0.42857142857142855,42
